Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )


Bajaj Finserv Mutual Fund
153437;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years IDCW Plan;Direct Plan;Unclaimed less than 3 years IDCW Plan;INF0QA701AE3;;1072.8448;29-Aug-2026
153438;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years Redemption Plan;Direct Plan;Unclaimed less than 3 years Redemption Plan;INF0QA701AF0;;1078.7601;29-Aug-2026
151843;Bajaj Finserv Overnight Fund - Direct Plan - Daily - IDCW;Direct Plan;Daily - IDCW;;INF0QA701185;1033.1412;29-Aug-2026
151850;Bajaj Finserv Overnight Fund - Direct Plan - Fortnightly - IDCW;Direct Plan;Fortnightly - IDCW	;INF0QA701235;INF0QA701201;1033.8611;29-Aug-2026
151849;Bajaj Finserv Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF0QA701177;;1207.0721;29-Aug-2026
151845;Bajaj Finserv Overnight Fund - Direct Plan - Monthly - IDCW;Direct Plan;Monthly - IDCW;INF0QA701243;INF0QA701219;1034.8663;29-Aug-2026
151844;Bajaj Finserv Overnight Fund - Direct Plan - Weekly - IDCW;Direct Plan;Weekly - IDCW;INF0QA701227;INF0QA701193;1033.8527;29-Aug-2026
151852;Bajaj Finserv Overnight Fund - Regular Plan - Daily - IDCW;Regular Plan;Daily - IDCW;;INF0QA701292;1032.8859;29-Aug-2026
151847;Bajaj Finserv Overnight Fund - Regular Plan - Fortnightly - IDCW;Regular Plan;Fortnightly - IDCW;INF0QA701318;INF0QA701276;1033.6015;29-Aug-2026
151851;Bajaj Finserv Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF0QA701250;;1205.1709;29-Aug-2026
151848;Bajaj Finserv Overnight Fund - Regular Plan - Monthly - IDCW;Regular Plan;Monthly - IDCW;INF0QA701326;INF0QA701284;1034.5992;29-Aug-2026
151846;Bajaj Finserv Overnight Fund - Regular Plan - Weekly - IDCW;Regular Plan;Weekly - IDCW;INF0QA701300;INF0QA701268;1033.5900;29-Aug-2026

Bank of India Mutual Fund
147951;BANK OF INDIA Overnight Fund Direct Plan Growth;Direct Plan;Growth;INF761K01EU7;;1399.5243;29-Aug-2026
147952;BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW;Direct Plan;Daily IDCW;;INF761K01EV5;1000.0000;29-Aug-2026
147948;BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW;Direct Plan;Monthly IDCW;INF761K01EY9;INF761K01EX1;1000.2790;29-Aug-2026
147950;BANK OF INDIA Overnight Fund Direct Plan- Weekly IDCW;Direct Plan;Weekly IDCW;;INF761K01EW3;1000.6931;29-Aug-2026
147936;BANK OF INDIA Overnight Fund Regular Plan Growth;Regular Plan;Growth;INF761K01EZ6;;1395.1333;29-Aug-2026
147953;BANK OF INDIA Overnight Fund Regular Plan- Daily IDCW;Regular Plan;Daily IDCW;;INF761K01FA6;1000.0000;29-Aug-2026
147949;BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW;Regular Plan;Monthly IDCW;INF761K01FD0;INF761K01FC2;1000.2764;29-Aug-2026
149412;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years;;;;;1000.0000;29-Aug-2026
149414;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years;;;;;1315.8104;29-Aug-2026
149415;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years;;;;;1000.0000;29-Aug-2026
149413;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years;;;;;1316.0393;29-Aug-2026

Edelweiss Mutual Fund
147551;Edelweiss Overnight Fund - Direct Plan - Annual - IDCW Option;Direct Plan;Annual IDCW;INF754K01KD5;INF754K01KC7;1353.0965;29-Aug-2026
147557;Edelweiss Overnight Fund - Direct Plan - Daily - IDCW Option;Direct Plan;Daily IDCW;;INF754K01JW7;1000.2456;29-Aug-2026
147550;Edelweiss Overnight Fund - Direct Plan - Fortnightly - IDCW Option;Direct Plan;Fortnightly IDCW;INF754K01JZ0;INF754K01JY3;1367.1517;29-Aug-2026
147570;Edelweiss Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF754K01JV9;;1422.9665;29-Aug-2026
147554;Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option;Direct Plan;Monthly IDCW;INF754K01KB9;INF754K01KA1;1058.0876;29-Aug-2026
147558;Edelweiss Overnight Fund - Direct Plan - Weekly - IDCW Option;Direct Plan;Weekly IDCW;;INF754K01JX5;1379.0718;29-Aug-2026
147556;Edelweiss Overnight Fund - Regular Plan - Annual - IDCW Option;Regular Plan;Annual IDCW;INF754K01KM6;INF754K01KL8;1347.1306;29-Aug-2026
147552;Edelweiss Overnight Fund - Regular Plan - Daily - IDCW Option;Regular Plan;Daily IDCW;;INF754K01KF0;1008.3758;29-Aug-2026
147549;Edelweiss Overnight Fund - Regular Plan - Fortnightly - IDCW Option;Regular Plan;Fortnightly IDCW;INF754K01KI4;INF754K01KH6;1095.302;29-Aug-2026
147569;Edelweiss Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF754K01KE3;;1417.4543;29-Aug-2026
147555;Edelweiss Overnight Fund - Regular Plan - Monthly - IDCW Option;Regular Plan;Monthly IDCW;INF754K01KK0;INF754K01KJ2;1004.9627;29-Aug-2026
147553;Edelweiss Overnight Fund - Regular Plan - Weekly - IDCW Option;Regular Plan;Weekly IDCW;;INF754K01KG8;1017.1071;29-Aug-2026
149476;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Above 3 years;;;;;1000;29-Aug-2026
149477;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Upto 3 years;;;;;1301.9368;29-Aug-2026
149479;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Above 3 years;;;;;1000;29-Aug-2026
149478;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Upto 3 years;;;;;1301.9352;29-Aug-2026

HDFC Mutual Fund
101996;HDFC Overnight Fund - Growth Option;Regular Plan;Growth Option;INF179KB1HS3;;4033.963;29-Aug-2026
119110;HDFC Overnight Fund - Growth Option - Direct Plan;Direct Plan;Growth Option;INF179KB1HT1;;4077.4231;29-Aug-2026

Kotak Mahindra Mutual Fund
146141;Kotak Overnight Fund -Direct Plan-Growth Option;Direct Plan;Growth;INF174KA1BF9;;1467.7359;29-Aug-2026
146142;Kotak Overnight Fund -Regular plan-Growth Option;Regular Plan;Growth;INF174KA1BC6;;1457.5074;29-Aug-2026
146140;Kotak Overnight Fund-Direct Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option;Direct Plan;Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF174KA1BE2;1003.7438;29-Aug-2026
146138;Kotak Overnight Fund-Regular Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option;Regular Plan;Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF174KA1BB8;1004.892;29-Aug-2026

LIC Mutual Fund
147516;LIC MF Overnight Fund-Direct Plan-Daily IDCW;Direct Plan;Daily IDCW;;INF767K01QG7;1124.8174;29-Aug-2026
147515;LIC MF Overnight Fund-Direct Plan-Growth;Direct Plan;Growth;INF767K01QI3;;1425.9509;29-Aug-2026
147513;LIC MF Overnight Fund-Direct Plan-IDCW;Direct Plan;IDCW;INF767K01QE2;INF767K01QF9;1426.1235;29-Aug-2026
147514;LIC MF Overnight Fund-Direct Plan-Weekly IDCW;Direct Plan;Weekly IDCW;;INF767K01QH5;1106.6043;29-Aug-2026
147517;LIC MF Overnight Fund-Regular Plan-Daily IDCW;Regular Plan;Daily IDCW;;INF767K01QB8;1124.0127;29-Aug-2026
147519;LIC MF Overnight Fund-Regular Plan-Growth;Regular Plan;Growth;INF767K01QD4;;1413.9305;29-Aug-2026
147512;LIC MF Overnight Fund-Regular Plan-IDCW;Regular Plan;IDCW;INF767K01PZ9;INF767K01QA0;1250.5615;29-Aug-2026
147518;LIC MF Overnight Fund-Regular Plan-Weekly IDCW;Regular Plan;Weekly IDCW;;INF767K01QC6;1179.9499;29-Aug-2026

Mahindra Manulife Mutual Fund
147563;Mahindra Manulife Overnight Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW;;INF174V01846;1427.1251;29-Aug-2026
147564;Mahindra Manulife Overnight Fund - Direct Plan -Growth;Direct Plan;Growth;INF174V01838;;1423.6155;29-Aug-2026
147566;Mahindra Manulife Overnight Fund - Regular Plan - Daily IDCW;Regular Plan;Daily IDCW;;INF174V01820;1253.5552;29-Aug-2026
147565;Mahindra Manulife Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF174V01812;;1413.4161;29-Aug-2026
149471;Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW beyond 3 years;;Unclaimed Redemption/IDCW beyond 3 years;;;1000.0000;29-Aug-2026
149470;Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW upto 3 years;;Unclaimed Redemption/IDCW upto 3 years;;;1305.5929;29-Aug-2026

PGIM India Mutual Fund
147605;PGIM India Overnight Fund - Direct Plan - Daily Dividend Option;Direct Plan;Direct IDCW;;INF663L01T35;1000.0087;29-Aug-2026
147606;PGIM India Overnight Fund - Direct Plan - Growth Option;Direct Plan;Direct Growth;INF663L01T01;;1417.5915;29-Aug-2026
147608;PGIM India Overnight Fund - Direct Plan - Weekly Dividend Option;Direct Plan;Direct IDCW;INF663L01T19;INF663L01T27;1000.1448;29-Aug-2026
147609;PGIM India Overnight Fund - Regular Plan - Daily Dividend Option;Regular Plan;Regular IDCW;;INF663L01T76;1000;29-Aug-2026
147607;PGIM India Overnight Fund - Regular Plan - Weekly Dividend Option;Regular Plan;Regular IDCW;INF663L01T50;INF663L01T68;1006.8852;29-Aug-2026
147600;PGIM India Overnight Fund - Regular Plan- Growth Option;Regular Plan;Regular Growth;INF663L01T43;;1411.1858;29-Aug-2026

Shriram Mutual Fund
154395;Shriram Overnight Fund- Direct Daily IDCW;Direct Plan;Daily IDCW;;INF680P01513;1000.0189;29-Aug-2026
154394;Shriram Overnight Fund- Direct Growth;Direct Plan;Growth;INF680P01497;;1270.3007;29-Aug-2026
154396;Shriram Overnight Fund- Direct Monthly IDCW;Direct Plan;Monthly IDCW;INF680P01612;INF680P01638;1001.6348;29-Aug-2026
154398;Shriram Overnight Fund- Regular Daily IDCW;Regular Plan;Daily IDCW;;INF680P01521;1000.01;29-Aug-2026
154399;Shriram Overnight Fund- Regular Growth;Regular Plan;Growth;INF680P01505;;1266.1742;29-Aug-2026
154402;Shriram Overnight Fund- Regular Monthly IDCW;Regular Plan;Monthly IDCW;INF680P01620;INF680P01646;1001.6548;29-Aug-2026

Sundaram Mutual Fund
146963;Sundaram Overnight Fund Direct Plan - Growth;Direct Plan;GROWTH;INF903JA1HG5;;1460.9179;29-Aug-2026
146962;Sundaram Overnight Fund Direct Plan - Monthly Payout of Income Distribution cum Capital Withdrawal (IDCW);Direct Plan;IDCW (Income Distribution CUM Capital Withdrawal);INF903JA1HH3;;1055.8651;29-Aug-2026
146957;Sundaram Overnight Fund Direct Plan - Monthly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW);Direct Plan;IDCW (Income Distribution CUM Capital Withdrawal);;INF903JA1HM3;1055.8651;29-Aug-2026
146959;Sundaram Overnight Fund Regular Plan - Growth;Regular Plan;GROWTH;INF903JA1GZ7;;1450.3695;29-Aug-2026
146960;Sundaram Overnight Fund Regular Plan - Monthly Payout of Income Distribution cum Capital Withdrawal (IDCW);Regular Plan;IDCW (Income Distribution CUM Capital Withdrawal);INF903JA1HA8;;1050.4794;29-Aug-2026
146961;Sundaram Overnight Fund Regular Plan - Monthly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW);Regular Plan;IDCW (Income Distribution CUM Capital Withdrawal);;INF903JA1HF7;1050.4794;29-Aug-2026

Tata Mutual Fund
146978;TATA Overnight Fund Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option   ;Direct Plan;Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF277K019T3;1000.0000;29-Aug-2026
146979;TATA Overnight Fund Regular Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option   ;Regular Plan;Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF277K017T7;1000.0000;29-Aug-2026
146980;Tata Overnight Fund-Direct Plan-Growth;Direct Plan;Growth Option;INF277K018T5;;1452.3316;29-Aug-2026
146977;Tata Overnight Fund-Regular Plan-Growth;Regular Plan;Growth Option;INF277K016T9;;1440.1023;29-Aug-2026

Trust Mutual Fund
149796;TRUST MF OVERNIGHT FUND-DIRECT PLAN-DAILY IDCW REINVESTMENT;Direct Plan;Daily IDCW Reinvestment;;INF0GCD01461;1272.4295;29-Aug-2026
149797;TRUST MF OVERNIGHT FUND-DIRECT PLAN-GROWTH;Direct Plan;Growth;INF0GCD01453;;1300.3091;29-Aug-2026
149798;TRUST MF OVERNIGHT FUND-REGULAR PLAN-DAILY IDCW REINVESTMENT;Regular Plan;Daily IDCW Reinvestment;;INF0GCD01446;1258.7271;29-Aug-2026
149795;TRUST MF OVERNIGHT FUND-REGULAR-GROWTH;Regular Plan;Growth;INF0GCD01438;;1297.2890;29-Aug-2026
153520;TRUSTMF OVERNIGHT FUND - UNCLAIMED REDEMPTION PLAN GROWTH;Direct Plan;Unclaimed Redemption Plan Growth;;;1004.0532;29-Aug-2026

Union Mutual Fund
147002;Union Overnight Fund - Direct Plan - Daily IDCW Option;Direct Plan;Daily IDCW Option;;INF582M01FB0;1000.8077;29-Aug-2026
147003;Union Overnight Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF582M01FA2;;1448.0494;29-Aug-2026
147006;Union Overnight Fund - Direct Plan - Monthly IDCW Option;Direct Plan;Monthly IDCW Option;INF582M01FG9;INF582M01FE4;1001.2006;29-Aug-2026
146998;Union Overnight Fund - Regular Plan - Daily IDCW Option;Regular Plan;Daily IDCW Option;;INF582M01FK1;1001.2621;29-Aug-2026
146997;Union Overnight Fund - Regular Plan - Growth Option;Regular Plan;Growth Option;INF582M01FJ3;;1437.4622;29-Aug-2026
147000;Union Overnight Fund - Regular Plan - Monthly IDCW Option;Regular Plan;Monthly IDCW Option;INF582M01FP0;INF582M01FN5;1001.1822;29-Aug-2026
149451;Union Overnight Fund - Unclaimed Amounts Plan - IDCW Beyond 3 years;;Unclaimed Amounts Plan - IDCW Beyond 3 years;;;1000.0000;29-Aug-2026
149452;Union Overnight Fund - Unclaimed Amounts Plan - IDCW Upto 3 years;;Unclaimed Amounts Plan - IDCW Upto 3 years;;;1304.2666;29-Aug-2026
149453;Union Overnight Fund - Unclaimed Amounts Plan - Redemption Beyond 3 years;;Unclaimed Amounts Plan - Redemption Beyond 3 years;;;1000.0000;29-Aug-2026
149454;Union Overnight Fund - Unclaimed Amounts Plan - Redemption Upto 3 years;;Unclaimed Amounts Plan - Redemption Upto 3 years;;;1304.2578;29-Aug-2026

UTI Mutual Fund
100814;UTI - Overnight  Fund - Regular Plan - Growth Option;Regular Plan;Growth;INF789F01604;;3722.7329;29-Aug-2026
120785;UTI - Overnight Fund - Direct Plan - Growth Option;Direct Plan;Growth;INF789FB1S71;;3765.412;29-Aug-2026
124266;UTI Overnight Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW;;INF789FB1S89;1371.6621;29-Aug-2026
120786;UTI Overnight Fund - Direct Plan - Periodic IDCW;Direct Plan;Periodic IDCW;INF789FB1T05;INF789FB1S97;1976.1407;29-Aug-2026
124265;UTI Overnight Fund - Regular Plan - Daily IDCW;Regular Plan;Daily IDCW;;INF789FB1T13;1370.8617;29-Aug-2026
