Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date
100813;UTI Overnight Fund - Regular Plan - Periodic IDCW;Regular Plan;Periodic IDCW;INF789F01588;INF789F01596;1917.8225;29-Aug-2026

Zerodha Mutual Fund
153436;Zerodha Overnight Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF0R8F01075;;10.7612;29-Aug-2026

Open Ended Schemes ( Debt Scheme - Liquid Fund )


Bajaj Finserv Mutual Fund
151835;Bajaj Finserv Liquid Fund - Direct Plan - Daily - IDCW;Direct Plan;Daily - IDCW;;INF0QA701029;1034.6939;29-Aug-2026
151838;Bajaj Finserv Liquid Fund - Direct Plan - Fortnightly - IDCW;Direct Plan;Fortnightly - IDCW;INF0QA701078;INF0QA701045;1035.6493;29-Aug-2026
151833;Bajaj Finserv Liquid Fund - Direct Plan - Growth;Direct Plan;Growth;INF0QA701011;;1237.0283;29-Aug-2026
151836;Bajaj Finserv Liquid Fund - Direct Plan - Monthly - IDCW;Direct Plan;Monthly - IDCW;INF0QA701086;INF0QA701052;1036.7565;29-Aug-2026
151834;Bajaj Finserv Liquid Fund - Direct Plan - Weekly - IDCW;Direct Plan;Weekly - IDCW;INF0QA701060;INF0QA701037;1035.6703;29-Aug-2026
151839;Bajaj Finserv Liquid Fund - Regular Plan - Daily - IDCW;Regular Plan;Daily - IDCW;;INF0QA701136;1033.8241;29-Aug-2026
151841;Bajaj Finserv Liquid Fund - Regular Plan - Fortnightly - IDCW;Regular Plan;Fortnightly - IDCW;INF0QA701151;INF0QA701110;1034.7476;29-Aug-2026
151837;Bajaj Finserv Liquid Fund - Regular Plan - Growth;Regular Plan;Growth;INF0QA701094;;1230.1426;29-Aug-2026
151842;Bajaj Finserv Liquid Fund - Regular Plan - Monthly - IDCW;Regular Plan;Monthly - IDCW;INF0QA701169;INF0QA701128;1035.8170;29-Aug-2026
151840;Bajaj Finserv Liquid Fund - Regular Plan - Weekly - IDCW;Regular Plan;Weekly - IDCW;INF0QA701144;INF0QA701102;1034.7579;29-Aug-2026

Bank of India Mutual Fund
119368;BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW;Direct Plan;Daily IDCW;;INF761K01CL0;1005.0000;29-Aug-2026
119369;BANK OF INDIA Liquid Fund- Direct Plan- Growth;Direct Plan;Growth;INF761K01785;;3263.8068;29-Aug-2026
119370;BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW;Direct Plan;Weekly IDCW;;INF761K01CM8;1005.9539;29-Aug-2026
111971;BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW;Regular Plan;Daily IDCW;;INF761K01CO4;1005.0000;29-Aug-2026
109254;BANK OF INDIA Liquid Fund- Regular Plan- Growth;Regular Plan;Growth;INF761K01306;;3230.0221;29-Aug-2026
109255;BANK OF INDIA Liquid Fund- Regular Plan- Weekly IDCW;Regular Plan;Weekly IDCW;;INF761K01CP1;1005.9459;29-Aug-2026

Capitalmind Mutual Fund
154011;Capitalmind Liquid Fund - Direct-Growth;Direct Plan;Growth;INF226401034;;1050.7021;29-Aug-2026
154010;Capitalmind Liquid Fund - Regular-Growth;Regular Plan;Growth;INF226401042;;1049.1132;29-Aug-2026

Edelweiss Mutual Fund
140194;Edelweiss Liquid Fund - Direct Plan - Bonus Option;Direct Plan;Bonus;INF754K01GY9;;2131.6139;29-Aug-2026
140196;Edelweiss Liquid Fund - Direct Plan - Growth Option;Direct Plan;Growth;INF754K01GM4;;3663.9486;29-Aug-2026
140198;Edelweiss Liquid Fund - Direct Plan - IDCW Option;Direct Plan;IDCW;INF754K01GO0;INF754K01GN2;3513.0473;29-Aug-2026
140192;Edelweiss Liquid Fund - Direct Plan Annual - IDCW Option;Direct Plan;Annual IDCW;INF754K01GX1;INF754K01GT9;3513.0066;29-Aug-2026
140193;Edelweiss Liquid Fund - Direct Plan daily - IDCW Option;Direct Plan;Daily IDCW;;INF754K01GP7;1194.3847;29-Aug-2026
140199;Edelweiss Liquid Fund - Direct Plan Fortnightly - IDCW Option;Direct Plan;Fortnightly IDCW;INF754K01GV5;INF754K01GR3;2473.4008;29-Aug-2026
140197;Edelweiss Liquid Fund - Direct Plan Monthly - IDCW Option;Direct Plan;Monthly IDCW;INF754K01GW3;INF754K01GS1;1005.0036;29-Aug-2026
140195;Edelweiss Liquid Fund - Direct Plan weekly - IDCW Option;Direct Plan;Weekly IDCW;INF754K01GU7;INF754K01GQ5;2174.6442;29-Aug-2026
140189;Edelweiss Liquid Fund - Regular Plan - Bonus Option;;;INF754K01HR1;;2089.4884;29-Aug-2026
140182;Edelweiss Liquid Fund - Regular Plan - Growth Option;Regular Plan;Growth;INF754K01GZ6;;3586.8574;29-Aug-2026
140190;Edelweiss Liquid Fund - Regular Plan - IDCW Option;Regular Plan;IDCW;INF754K01GK8;INF754K01GL6;3435.9575;29-Aug-2026
140188;Edelweiss Liquid Fund - Regular Plan Annual - IDCW Option;Regular Plan;Annual IDCW;INF754K01HQ3;INF754K01HP5;2330.8906;29-Aug-2026
140181;Edelweiss Liquid Fund - Regular Plan Daily - IDCW Option;Regular Plan;IDCW;;INF754K01HA7;1328.1102;29-Aug-2026
140184;Edelweiss Liquid Fund - Regular Plan Fortnightly - IDCW Option;Regular Plan;Fortnightly IDCW;INF754K01HK6;INF754K01HC3;2153.0378;29-Aug-2026
140183;Edelweiss Liquid Fund - Regular Plan Monthly - IDCW Option;Regular Plan;Monthly IDCW;INF754K01HL4;INF754K01HD1;1083.2032;29-Aug-2026
140185;Edelweiss Liquid Fund - Regular Plan Weekly - IDCW Option;Regular Plan;Weekly IDCW;INF754K01HJ8;INF754K01HB5;1216.0834;29-Aug-2026
140176;Edelweiss Liquid Fund - Retail Plan - Growth Option;;;INF754K01HE9;;3261.9595;29-Aug-2026
140178;Edelweiss Liquid Fund - Retail Plan - Weekly Dividend Option;;;;INF754K01HG4;1231.8554;29-Aug-2026
140177;Edelweiss Liquid Fund - Retail Plan Daily - IDCW Option;;;;INF754K01HF6;1169.0095;29-Aug-2026
140180;Edelweiss Liquid Fund - Retail Plan Monthly - IDCW Option;;;;INF754K01HI0;1244.474;29-Aug-2026

HDFC Mutual Fund
119091;HDFC Liquid Fund - Growth Option - Direct Plan;Direct Plan;Growth Option;INF179KB1HP9;;5564.4119;29-Aug-2026
100868;HDFC Liquid Fund - Growth Plan;Regular Plan;Growth Option;INF179KB1HK0;;5498.9802;29-Aug-2026

JM Financial Mutual Fund
101549;JM Liquid Fund (Regular) - Bonus Option - Principal Units;Regular Plan;Bonus Option - Principal Units;INF192K01890;;24.462;29-Aug-2026
101078;JM Liquid Fund (Regular) - Daily IDCW;Regular Plan;Daily IDCW Option;;INF192K01833;10.4302;29-Aug-2026

LIC Mutual Fund
120248;LIC MF Liquid Fund-Direct Plan-Daily IDCW;Direct Plan;Daily IDCW;INF767K01DL5;INF767K01DM3;1035.2975;29-Aug-2026
120249;LIC MF Liquid Fund-Direct Plan-Growth;Direct Plan;Growth;INF767K01DN1;;5144.6459;29-Aug-2026
151930;LIC MF Liquid Fund-Direct Plan-Monthly IDCW;Direct Plan;Monthly IDCW;INF397L01AK7;INF397L01AJ9;1248.536;29-Aug-2026
151932;LIC MF Liquid Fund-Direct Plan-Weekly IDCW;Direct Plan;Weekly IDCW;INF397L01AM3;INF397L01AL5;1115.4793;29-Aug-2026
101184;LIC MF Liquid Fund-Regular Plan-Daily IDCW;Regular Plan;Daily IDCW;INF767K01IQ3;INF767K01IR1;1000.1751;29-Aug-2026
101185;LIC MF Liquid Fund-Regular Plan-Growth;Regular Plan;Growth;INF767K01IS9;;5066.6602;29-Aug-2026
151928;LIC MF Liquid Fund-Regular Plan-Monthly IDCW;Regular Plan;Monthly IDCW;INF397L01976;INF397L01968;1227.1562;29-Aug-2026
151927;LIC MF Liquid Fund-Regular Plan-Weekly IDCW;Regular Plan;Weekly IDCW;INF397L01950;INF397L01943;1002.874;29-Aug-2026

Navi Mutual Fund
119163;Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment;Direct Plan;Daily IDCW - ReInvestment	;;INF959L01GK1;10.0144;29-Aug-2026
119161;Navi Liquid Fund - Direct Plan Monthly IDCW - Payout;Direct Plan;Monthly IDCW - Payout;INF959L01GG9;INF959L01GH7;10.0141;29-Aug-2026
119162;Navi Liquid Fund - Direct Plan Weekly IDCW - Payout;Direct Plan;Weekly IDCW - Payout;INF959L01GI5;INF959L01GJ3;10.0125;29-Aug-2026
112645;Navi Liquid Fund - Regular Plan Daily IDCW;Regular Plan;Daily IDCW;;INF959L01GM7;10.0913;29-Aug-2026
112647;Navi Liquid Fund - Regular Plan Monthly IDCW;Regular Plan;Monthly IDCW;INF959L01GN5;INF959L01GO3;10.014;29-Aug-2026
112646;Navi Liquid Fund - Regular Plan Weekly IDCW;Regular Plan;Weekly IDCW;INF959L01GP0;INF959L01GQ8;10.0128;29-Aug-2026
119164;Navi Liquid Fund-Direct Plan-Growth Option;;;INF959L01GF1;;30.5713;29-Aug-2026
112636;Navi Liquid Fund-Regular Plan-Growth Option;Regular Plan;Growth Option;INF959L01GL9;;30.2828;29-Aug-2026
140437;Navi Liquid Fund-Unclaimed Redemption and Dividend Plan greater than 3 years;Direct Plan;Unclaimed Redemption and Dividend Plan less than 3 years;INF959L01CO2;;10.0016;29-Aug-2026
139386;Navi Liquid Fund-Unclaimed Redemption and Dividend Plan less than 3 years;Regular Plan;Unclaimed Redemption and Dividend Plan less than 3 years;INF959L01CN4;;30.4684;29-Aug-2026

PGIM India Mutual Fund
138285;PGIM India Liquid Fund - Daily Dividend;Regular Plan;Regular IDCW;;INF223J01BO9;100.304;29-Aug-2026
138297;PGIM India Liquid Fund - Direct Plan - Daily Dividend;Direct Plan;Direct IDCW;INF223J01NR7;;131.8067;29-Aug-2026
138299;PGIM India Liquid Fund - Direct Plan - Growth;Direct Plan;Direct Growth;INF223J01NS5;;369.8419;29-Aug-2026
138298;PGIM India Liquid Fund - Direct Plan - Monthly Dividend;Direct Plan;Direct IDCW;INF223J01NT3;INF223J01NU1;115.6449;29-Aug-2026
138301;PGIM India Liquid Fund - Direct Plan - Weekly Dividend;Direct Plan;Direct IDCW;INF223J01NV9;INF223J01NW7;100.5212;29-Aug-2026
138288;PGIM India Liquid Fund - Growth;Regular Plan;Regular Growth;INF223J01BP6;;365.0169;29-Aug-2026
138287;PGIM India Liquid Fund - Monthly Dividend;Regular Plan;Regular IDCW;INF223J01BL5;;116.0538;29-Aug-2026
138289;PGIM India Liquid Fund - Weekly Dividend;Regular Plan;Regular IDCW;INF223J01BU6;;100.5209;29-Aug-2026

PPFAS Mutual Fund
143263;Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW;Direct Plan;Daily Reinvestment of IDCW;;INF879O01118;1000.5405;29-Aug-2026
143269;Parag Parikh Liquid Fund- Direct Plan- Growth;Direct Plan;Growth;INF879O01068;;1566.8970;29-Aug-2026
143262;Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW;Direct Plan;Monthly IDCW Payout;INF879O01076;INF879O01084;1008.8079;29-Aug-2026
143265;Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW;Direct Plan;Weekly Reinvestment of IDCW;;INF879O01134;1001.8828;29-Aug-2026
143264;Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW;Regular Plan;Daily Reinvestment of IDCW;;INF879O01126;1000.5404;29-Aug-2026
143260;Parag Parikh Liquid Fund- Regular Plan- Growth;Regular Plan;Growth;INF879O01035;;1553.8699;29-Aug-2026
143261;Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW;Regular Plan;Monthly IDCW Payout;INF879O01043;INF879O01050;1008.7224;29-Aug-2026
143266;Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW;Regular Plan;Weekly Reinvestment of IDCW;;INF879O01142;1001.8703;29-Aug-2026

