Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )


Bank of India Mutual Fund
147951;BANK OF INDIA Overnight Fund Direct Plan Growth;Direct Plan;Growth;INF761K01EU7;;1403.3759;19-Sep-2026
147952;BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW;Direct Plan;Daily IDCW;;INF761K01EV5;1000.0000;19-Sep-2026
147948;BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW;Direct Plan;Monthly IDCW;INF761K01EY9;INF761K01EX1;1003.0396;19-Sep-2026
147950;BANK OF INDIA Overnight Fund Direct Plan- Weekly IDCW;Direct Plan;Weekly IDCW;;INF761K01EW3;1000.5484;19-Sep-2026
147936;BANK OF INDIA Overnight Fund Regular Plan Growth;Regular Plan;Growth;INF761K01EZ6;;1399.2000;19-Sep-2026
147953;BANK OF INDIA Overnight Fund Regular Plan- Daily IDCW;Regular Plan;Daily IDCW;;INF761K01FA6;1000.0000;19-Sep-2026
147949;BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW;Regular Plan;Monthly IDCW;INF761K01FD0;INF761K01FC2;1003.1715;19-Sep-2026
149412;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years;;;;;1000.0000;19-Sep-2026
149414;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years;;;;;1319.4221;19-Sep-2026
149415;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years;;;;;1000.0000;19-Sep-2026
149413;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years;;;;;1319.6582;19-Sep-2026

Edelweiss Mutual Fund
147551;Edelweiss Overnight Fund - Direct Plan - Annual - IDCW Option;Direct Plan;Annual IDCW;INF754K01KD5;INF754K01KC7;1356.7738;19-Sep-2026
147557;Edelweiss Overnight Fund - Direct Plan - Daily - IDCW Option;Direct Plan;Daily IDCW;;INF754K01JW7;1000.2504;19-Sep-2026
147550;Edelweiss Overnight Fund - Direct Plan - Fortnightly - IDCW Option;Direct Plan;Fortnightly IDCW;INF754K01JZ0;INF754K01JY3;1370.8108;19-Sep-2026
147570;Edelweiss Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF754K01JV9;;1426.8336;19-Sep-2026
147554;Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option;Direct Plan;Monthly IDCW;INF754K01KB9;INF754K01KA1;1060.9634;19-Sep-2026
147558;Edelweiss Overnight Fund - Direct Plan - Weekly - IDCW Option;Direct Plan;Weekly IDCW;;INF754K01JX5;1379.0592;19-Sep-2026
147556;Edelweiss Overnight Fund - Regular Plan - Annual - IDCW Option;Regular Plan;Annual IDCW;INF754K01KM6;INF754K01KL8;1350.7513;19-Sep-2026
147552;Edelweiss Overnight Fund - Regular Plan - Daily - IDCW Option;Regular Plan;Daily IDCW;;INF754K01KF0;1008.3772;19-Sep-2026
147549;Edelweiss Overnight Fund - Regular Plan - Fortnightly - IDCW Option;Regular Plan;Fortnightly IDCW;INF754K01KI4;INF754K01KH6;1095.8626;19-Sep-2026
147569;Edelweiss Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF754K01KE3;;1421.2649;19-Sep-2026
147555;Edelweiss Overnight Fund - Regular Plan - Monthly - IDCW Option;Regular Plan;Monthly IDCW;INF754K01KK0;INF754K01KJ2;1007.6657;19-Sep-2026
147553;Edelweiss Overnight Fund - Regular Plan - Weekly - IDCW Option;Regular Plan;Weekly IDCW;;INF754K01KG8;1017.0925;19-Sep-2026
149476;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Above 3 years;;;;;1000;19-Sep-2026
149477;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Upto 3 years;;;;;1305.4751;19-Sep-2026
149479;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Above 3 years;;;;;1000;19-Sep-2026
149478;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Upto 3 years;;;;;1305.4735;19-Sep-2026

LIC Mutual Fund
147516;LIC MF Overnight Fund-Direct Plan-Daily IDCW;Direct Plan;Daily IDCW;;INF767K01QG7;1127.9387;19-Sep-2026
147515;LIC MF Overnight Fund-Direct Plan-Growth;Direct Plan;Growth;INF767K01QI3;;1429.8764;19-Sep-2026
147513;LIC MF Overnight Fund-Direct Plan-IDCW;Direct Plan;IDCW;INF767K01QE2;INF767K01QF9;1430.0494;19-Sep-2026
147514;LIC MF Overnight Fund-Direct Plan-Weekly IDCW;Direct Plan;Weekly IDCW;;INF767K01QH5;1109.8738;19-Sep-2026
147517;LIC MF Overnight Fund-Regular Plan-Daily IDCW;Regular Plan;Daily IDCW;;INF767K01QB8;1127.1164;19-Sep-2026
147519;LIC MF Overnight Fund-Regular Plan-Growth;Regular Plan;Growth;INF767K01QD4;;1417.7846;19-Sep-2026
147512;LIC MF Overnight Fund-Regular Plan-IDCW;Regular Plan;IDCW;INF767K01PZ9;INF767K01QA0;1253.894;19-Sep-2026
147518;LIC MF Overnight Fund-Regular Plan-Weekly IDCW;Regular Plan;Weekly IDCW;;INF767K01QC6;1179.6269;19-Sep-2026

Mahindra Manulife Mutual Fund
147563;Mahindra Manulife Overnight Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW;;INF174V01846;1431.0358;19-Sep-2026
147564;Mahindra Manulife Overnight Fund - Direct Plan -Growth;Direct Plan;Growth;INF174V01838;;1427.5154;19-Sep-2026
147566;Mahindra Manulife Overnight Fund - Regular Plan - Daily IDCW;Regular Plan;Daily IDCW;;INF174V01820;1256.9284;19-Sep-2026
147565;Mahindra Manulife Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF174V01812;;1417.2132;19-Sep-2026
149471;Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW beyond 3 years;;Unclaimed Redemption/IDCW beyond 3 years;;;1000.0000;19-Sep-2026
149470;Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW upto 3 years;;Unclaimed Redemption/IDCW upto 3 years;;;1309.1643;19-Sep-2026

PGIM India Mutual Fund
147605;PGIM India Overnight Fund - Direct Plan - Daily Dividend Option;Direct Plan;Direct IDCW;;INF663L01T35;1000.0087;19-Sep-2026
147606;PGIM India Overnight Fund - Direct Plan - Growth Option;Direct Plan;Direct Growth;INF663L01T01;;1421.3393;19-Sep-2026
147608;PGIM India Overnight Fund - Direct Plan - Weekly Dividend Option;Direct Plan;Direct IDCW;INF663L01T19;INF663L01T27;1000.198;19-Sep-2026
147609;PGIM India Overnight Fund - Regular Plan - Daily Dividend Option;Regular Plan;Regular IDCW;;INF663L01T76;1000;19-Sep-2026
147607;PGIM India Overnight Fund - Regular Plan - Weekly Dividend Option;Regular Plan;Regular IDCW;INF663L01T50;INF663L01T68;1006.8613;19-Sep-2026
147600;PGIM India Overnight Fund - Regular Plan- Growth Option;Regular Plan;Regular Growth;INF663L01T43;;1414.8973;19-Sep-2026

Tata Mutual Fund
146978;TATA Overnight Fund Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option   ;Direct Plan;Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF277K019T3;1000.0000;19-Sep-2026
146979;TATA Overnight Fund Regular Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option   ;Regular Plan;Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF277K017T7;1000.0000;19-Sep-2026
146980;Tata Overnight Fund-Direct Plan-Growth;Direct Plan;Growth Option;INF277K018T5;;1456.3195;19-Sep-2026
146977;Tata Overnight Fund-Regular Plan-Growth;Regular Plan;Growth Option;INF277K016T9;;1443.9488;19-Sep-2026

Union Mutual Fund
147002;Union Overnight Fund - Direct Plan - Daily IDCW Option;Direct Plan;Daily IDCW Option;;INF582M01FB0;1000.8084;19-Sep-2026
147003;Union Overnight Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF582M01FA2;;1452.0228;19-Sep-2026
147006;Union Overnight Fund - Direct Plan - Monthly IDCW Option;Direct Plan;Monthly IDCW Option;INF582M01FG9;INF582M01FE4;1003.9438;19-Sep-2026
146998;Union Overnight Fund - Regular Plan - Daily IDCW Option;Regular Plan;Daily IDCW Option;;INF582M01FK1;1001.2621;19-Sep-2026
146997;Union Overnight Fund - Regular Plan - Growth Option;Regular Plan;Growth Option;INF582M01FJ3;;1441.3262;19-Sep-2026
147000;Union Overnight Fund - Regular Plan - Monthly IDCW Option;Regular Plan;Monthly IDCW Option;INF582M01FP0;INF582M01FN5;1003.8834;19-Sep-2026
149451;Union Overnight Fund - Unclaimed Amounts Plan - IDCW Beyond 3 years;;Unclaimed Amounts Plan - IDCW Beyond 3 years;;;1000.0000;19-Sep-2026
149452;Union Overnight Fund - Unclaimed Amounts Plan - IDCW Upto 3 years;;Unclaimed Amounts Plan - IDCW Upto 3 years;;;1307.8441;19-Sep-2026
149453;Union Overnight Fund - Unclaimed Amounts Plan - Redemption Beyond 3 years;;Unclaimed Amounts Plan - Redemption Beyond 3 years;;;1000.0000;19-Sep-2026
149454;Union Overnight Fund - Unclaimed Amounts Plan - Redemption Upto 3 years;;Unclaimed Amounts Plan - Redemption Upto 3 years;;;1307.8321;19-Sep-2026

Open Ended Schemes ( Debt Scheme - Liquid Fund )


Bank of India Mutual Fund
119368;BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW;Direct Plan;Daily IDCW;;INF761K01CL0;1005.0000;19-Sep-2026
119369;BANK OF INDIA Liquid Fund- Direct Plan- Growth;Direct Plan;Growth;INF761K01785;;3276.0065;19-Sep-2026
119370;BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW;Direct Plan;Weekly IDCW;;INF761K01CM8;1005.5839;19-Sep-2026
111971;BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW;Regular Plan;Daily IDCW;;INF761K01CO4;1005.0000;19-Sep-2026
109254;BANK OF INDIA Liquid Fund- Regular Plan- Growth;Regular Plan;Growth;INF761K01306;;3242.1371;19-Sep-2026
109255;BANK OF INDIA Liquid Fund- Regular Plan- Weekly IDCW;Regular Plan;Weekly IDCW;;INF761K01CP1;1005.5775;19-Sep-2026

Capitalmind Mutual Fund
154011;Capitalmind Liquid Fund - Direct-Growth;Direct Plan;Growth;INF226401034;;1054.4121;19-Sep-2026
154010;Capitalmind Liquid Fund - Regular-Growth;Regular Plan;Growth;INF226401042;;1052.6988;19-Sep-2026

Edelweiss Mutual Fund
140194;Edelweiss Liquid Fund - Direct Plan - Bonus Option;Direct Plan;Bonus;INF754K01GY9;;2139.3204;19-Sep-2026
140196;Edelweiss Liquid Fund - Direct Plan - Growth Option;Direct Plan;Growth;INF754K01GM4;;3677.1955;19-Sep-2026
140198;Edelweiss Liquid Fund - Direct Plan - IDCW Option;Direct Plan;IDCW;INF754K01GO0;INF754K01GN2;3525.7485;19-Sep-2026
140192;Edelweiss Liquid Fund - Direct Plan Annual - IDCW Option;Direct Plan;Annual IDCW;INF754K01GX1;INF754K01GT9;3525.7077;19-Sep-2026
140193;Edelweiss Liquid Fund - Direct Plan daily - IDCW Option;Direct Plan;Daily IDCW;;INF754K01GP7;1194.3847;19-Sep-2026
140199;Edelweiss Liquid Fund - Direct Plan Fortnightly - IDCW Option;Direct Plan;Fortnightly IDCW;INF754K01GV5;INF754K01GR3;2474.5325;19-Sep-2026
140197;Edelweiss Liquid Fund - Direct Plan Monthly - IDCW Option;Direct Plan;Monthly IDCW;INF754K01GW3;INF754K01GS1;1008.6371;19-Sep-2026
140195;Edelweiss Liquid Fund - Direct Plan weekly - IDCW Option;Direct Plan;Weekly IDCW;INF754K01GU7;INF754K01GQ5;2174.3007;19-Sep-2026
140189;Edelweiss Liquid Fund - Regular Plan - Bonus Option;;;INF754K01HR1;;2096.9532;19-Sep-2026
140182;Edelweiss Liquid Fund - Regular Plan - Growth Option;Regular Plan;Growth;INF754K01GZ6;;3599.6692;19-Sep-2026
140190;Edelweiss Liquid Fund - Regular Plan - IDCW Option;Regular Plan;IDCW;INF754K01GK8;INF754K01GL6;3448.2304;19-Sep-2026
140188;Edelweiss Liquid Fund - Regular Plan Annual - IDCW Option;Regular Plan;Annual IDCW;INF754K01HQ3;INF754K01HP5;2339.2164;19-Sep-2026
140181;Edelweiss Liquid Fund - Regular Plan Daily - IDCW Option;Regular Plan;IDCW;;INF754K01HA7;1332.8542;19-Sep-2026
140184;Edelweiss Liquid Fund - Regular Plan Fortnightly - IDCW Option;Regular Plan;Fortnightly IDCW;INF754K01HK6;INF754K01HC3;2154.0077;19-Sep-2026
140183;Edelweiss Liquid Fund - Regular Plan Monthly - IDCW Option;Regular Plan;Monthly IDCW;INF754K01HL4;INF754K01HD1;1087.0723;19-Sep-2026
140185;Edelweiss Liquid Fund - Regular Plan Weekly - IDCW Option;Regular Plan;Weekly IDCW;INF754K01HJ8;INF754K01HB5;1215.8914;19-Sep-2026
140176;Edelweiss Liquid Fund - Retail Plan - Growth Option;;;INF754K01HE9;;3273.6144;19-Sep-2026
140178;Edelweiss Liquid Fund - Retail Plan - Weekly Dividend Option;;;;INF754K01HG4;1231.6608;19-Sep-2026
140177;Edelweiss Liquid Fund - Retail Plan Daily - IDCW Option;;;;INF754K01HF6;1173.2074;19-Sep-2026
140180;Edelweiss Liquid Fund - Retail Plan Monthly - IDCW Option;;;;INF754K01HI0;1248.9244;19-Sep-2026

LIC Mutual Fund
120248;LIC MF Liquid Fund-Direct Plan-Daily IDCW;Direct Plan;Daily IDCW;INF767K01DL5;INF767K01DM3;1035.2975;19-Sep-2026
120249;LIC MF Liquid Fund-Direct Plan-Growth;Direct Plan;Growth;INF767K01DN1;;5162.5881;19-Sep-2026
151930;LIC MF Liquid Fund-Direct Plan-Monthly IDCW;Direct Plan;Monthly IDCW;INF397L01AK7;INF397L01AJ9;1252.8895;19-Sep-2026
151932;LIC MF Liquid Fund-Direct Plan-Weekly IDCW;Direct Plan;Weekly IDCW;INF397L01AM3;INF397L01AL5;1119.3686;19-Sep-2026
101184;LIC MF Liquid Fund-Regular Plan-Daily IDCW;Regular Plan;Daily IDCW;INF767K01IQ3;INF767K01IR1;1000.1751;19-Sep-2026
101185;LIC MF Liquid Fund-Regular Plan-Growth;Regular Plan;Growth;INF767K01IS9;;5084.1238;19-Sep-2026
151928;LIC MF Liquid Fund-Regular Plan-Monthly IDCW;Regular Plan;Monthly IDCW;INF397L01976;INF397L01968;1231.388;19-Sep-2026
151927;LIC MF Liquid Fund-Regular Plan-Weekly IDCW;Regular Plan;Weekly IDCW;INF397L01950;INF397L01943;1002.7701;19-Sep-2026

Navi Mutual Fund
119163;Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment;Direct Plan;Daily IDCW - ReInvestment	;;INF959L01GK1;10.0145;19-Sep-2026
119161;Navi Liquid Fund - Direct Plan Monthly IDCW - Payout;Direct Plan;Monthly IDCW - Payout;INF959L01GG9;INF959L01GH7;10.043;19-Sep-2026
119162;Navi Liquid Fund - Direct Plan Weekly IDCW - Payout;Direct Plan;Weekly IDCW - Payout;INF959L01GI5;INF959L01GJ3;10.009;19-Sep-2026
112645;Navi Liquid Fund - Regular Plan Daily IDCW;Regular Plan;Daily IDCW;;INF959L01GM7;10.0145;19-Sep-2026
112647;Navi Liquid Fund - Regular Plan Monthly IDCW;Regular Plan;Monthly IDCW;INF959L01GN5;INF959L01GO3;10.0426;19-Sep-2026
112646;Navi Liquid Fund - Regular Plan Weekly IDCW;Regular Plan;Weekly IDCW;INF959L01GP0;INF959L01GQ8;10.0094;19-Sep-2026
119164;Navi Liquid Fund-Direct Plan-Growth Option;;;INF959L01GF1;;30.6595;19-Sep-2026
112636;Navi Liquid Fund-Regular Plan-Growth Option;Regular Plan;Growth Option;INF959L01GL9;;30.3692;19-Sep-2026
